team,player,source_player_id,season,position,games,half_innings,bip_opportunities,range_runs,range_gb,range_ld,range_fb,error_runs,dp_runs,arm_runs,framing_runs,blocking_runs,throwing_runs,bunt_runs,drs_total,drs_floor,drs_ceiling,pitcher_fielding,pitcher_fielding_n,err_engagements,bip_faced,bip_tracked,range_runs_tracked,tracking_coverage,range_flag,plays_made,errors,assists,putouts,pop_time_avg,constants_version,engine_version,grounder_cal_version
UGA,T. Phelps,1297607680,2026,2B,1,1,0.15,-0.072,-0.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.072,-0.0,-0.072,0.0,0,0.0,0.2,0.2,-0.081,1.0,ok,0,0,0,0,,D1_2026_v1,drs-engine-0.11.0,gcal_2026_v1
UGA,T. Phelps,1297607680,2026,3B,1,4,2.88,0.384,0.318,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.003,0.429,0.0,0,2.0,2.9,2.9,0.318,1.0,ok,2,0,2,0,,D1_2026_v1,drs-engine-0.11.0,gcal_2026_v1
UNC,C. French,1249079808,2026,RF,2,10,9.0,-0.411,0.0,-0.461,0.148,0.0,0.0,-0.006,0.0,0.0,0.0,0.0,-0.418,-0.011,-0.418,0.0,0,5.0,9.0,9.0,-0.299,1.0,ok,5,0,0,5,,D1_2026_v1,drs-engine-0.11.0,gcal_2026_v1
UNC,C. Hynek,1192564993,2026,C,2,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,-0.418,0.058,0.0,0.77,0.025,0.77,0.0,0,0.0,0.0,0.0,0.0,,,0,0,2,0,2.56,D1_2026_v1,drs-engine-0.11.0,gcal_2026_v1
UNC,C. Nicholson,1031020719,2026,3B,2,6,2.17,-0.45,0.052,-0.552,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,-0.405,-0.003,-0.405,0.0,0,2.0,2.2,2.2,-0.5,1.0,ok,1,0,1,1,,D1_2026_v1,drs-engine-0.11.0,gcal_2026_v1
UNC,E. Paulsen,1304426498,2026,1B,2,12,4.0,0.107,-0.283,-0.032,0.244,0.291,0.0,0.0,0.0,0.0,0.0,0.0,0.398,0.004,0.398,0.0,0,14.0,5.0,4.0,-0.071,0.8,ok,2,0,1,15,,D1_2026_v1,drs-engine-0.11.0,gcal_2026_v1
UNC,G. Gallaher,1196790784,2026,2B,2,10,12.58,1.287,0.668,-0.257,0.101,0.179,0.0,0.0,0.0,0.0,0.0,0.0,1.466,0.051,1.466,0.0,0,10.0,12.6,12.6,0.512,1.0,ok,8,0,7,3,,D1_2026_v1,drs-engine-0.11.0,gcal_2026_v1
UNC,J. Rose,1856674539,2026,P,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.261,-0.261,0.0,-0.261,0.0,0,0.0,0.0,0.0,0.0,,,0,0,0,0,,D1_2026_v1,drs-engine-0.11.0,gcal_2026_v1
UNC,J. Schaffner,1306696448,2026,SS,2,14,16.24,-1.231,-0.184,-0.723,-1.055,0.224,0.0,0.0,0.0,0.0,0.0,0.0,-1.007,-0.045,-1.007,0.0,0,12.0,16.2,16.2,-1.914,1.0,ok,8,0,8,4,,D1_2026_v1,drs-engine-0.11.0,gcal_2026_v1
UNC,O. Hull,1182038272,2026,CF,2,9,4.0,-0.361,0.0,-0.006,-0.781,0.0,0.0,-0.27,0.0,0.0,0.0,0.0,-0.631,-0.016,-0.631,0.0,0,3.0,5.0,4.0,-0.788,0.8,ok,2,0,0,3,,D1_2026_v1,drs-engine-0.11.0,gcal_2026_v1
UNC,T. Howe,1376815600,2026,LF,2,7,3.0,0.635,0.0,1.062,0.0,0.0,0.0,-0.415,0.0,0.0,0.0,0.0,0.221,-0.008,0.221,0.0,0,4.0,4.0,3.0,1.109,0.75,ok,3,0,0,4,,D1_2026_v1,drs-engine-0.11.0,gcal_2026_v1
UNC,W. McDuffie,1834657565,2026,P,1,2,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.261,0.284,0.0,0.284,0.168,1,1.0,0.0,0.0,0.0,,,0,0,1,0,,D1_2026_v1,drs-engine-0.11.0,gcal_2026_v1
WVU,A. Guzman,1310545920,2026,1B,1,5,2.32,0.256,0.226,-0.072,0.0,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.368,0.002,0.368,0.0,0,6.0,3.3,2.3,0.153,0.698,ok,1,0,0,6,,D1_2026_v1,drs-engine-0.11.0,gcal_2026_v1
WVU,A. Guzman,1310545920,2026,RF,1,1,1.0,-0.294,0.0,-0.282,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,-0.286,-0.001,-0.286,0.0,0,1.0,2.0,1.0,-0.282,0.5,low_coverage,0,0,0,1,,D1_2026_v1,drs-engine-0.11.0,gcal_2026_v1
WVU,B. Kresser,1207471872,2026,1B,1,3,1.0,0.044,0.0,0.0,0.0,-0.852,0.0,0.0,0.0,0.0,0.0,0.0,-0.807,-0.002,-0.807,0.0,0,6.0,1.0,0.0,0.0,1.0,ok,0,1,0,5,,D1_2026_v1,drs-engine-0.11.0,gcal_2026_v1
WVU,B. Lumsden,1162350592,2026,LF,1,4,2.0,-0.854,0.0,-0.005,-0.534,0.0,0.0,2.401,0.0,0.0,0.0,0.0,1.547,0.047,1.547,0.0,0,0.0,3.0,2.0,-0.538,0.667,ok,0,0,1,0,,D1_2026_v1,drs-engine-0.11.0,gcal_2026_v1
WVU,B. Wills,1099961344,2026,RF,1,1,2.0,-0.284,0.0,-0.259,0.0,0.0,0.0,-0.095,0.0,0.0,0.0,0.0,-0.379,-0.004,-0.379,0.0,0,1.0,2.0,2.0,-0.259,1.0,ok,1,0,0,1,,D1_2026_v1,drs-engine-0.11.0,gcal_2026_v1
WVU,G. Kelly,1563240163,2026,2B,1,6,8.36,-1.925,-1.273,-1.166,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,-1.858,-0.043,-1.858,0.0,0,3.0,8.4,8.4,-2.44,1.0,ok,3,0,3,0,,D1_2026_v1,drs-engine-0.11.0,gcal_2026_v1
WVU,M. Graveline,1132728576,2026,C,1,9,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,-1.058,0.115,0.292,0.0,-0.629,0.0,-0.629,0.0,0,1.0,0.0,0.0,0.0,,,0,0,2,1,2.14,D1_2026_v1,drs-engine-0.11.0,gcal_2026_v1
WVU,M. Ineich,1234177521,2026,SS,1,7,5.85,0.852,0.911,-0.305,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.942,0.015,0.942,0.0,0,4.0,5.8,5.8,0.606,1.0,ok,4,0,3,3,,D1_2026_v1,drs-engine-0.11.0,gcal_2026_v1
WVU,P. Schoenfeld,1658244906,2026,CF,1,5,2.0,-0.554,0.0,0.045,-0.812,0.0,0.0,-0.331,0.0,0.0,0.0,0.0,-0.885,-0.01,-0.885,0.0,0,1.0,2.0,2.0,-0.767,1.0,ok,1,0,0,1,,D1_2026_v1,drs-engine-0.11.0,gcal_2026_v1
WVU,T. Hall,1578883177,2026,3B,1,5,4.47,-0.234,-0.337,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,-0.166,-0.002,-0.166,0.0,0,3.0,4.5,4.5,-0.337,1.0,ok,3,0,3,0,,D1_2026_v1,drs-engine-0.11.0,gcal_2026_v1
