Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,P,PA,AB,BA,OBP,SLG,OPS,ISO,K%,BB%,K/BB,HR%,R/G,AB/HR,BABIP,OutRate,WOBA,SB%
328,1166940672,J. Brooks,Jack Brooks,Brooks,Jack,RF,University of Oregon,ORE,4807,Oregon,BBC,L,R,3,42,12,7,.429,.636,.571,1.208,.143,8.3%,8.3%,1.00,0.0%,2.00,-,.500,50.0%,.537,100.0%
328,1191396608,C. Raile,Cole Raile,Raile,Cole,P,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,4,78,17,14,.429,.529,.857,1.387,.429,29.4%,17.6%,1.67,11.8%,2.00,7.00,.571,42.9%,.570,100.0%
328,1294953728,T. Peterson,Tyce Peterson,Peterson,Tyce,1B,San Diego State University,SDSU,730218496,San Diego State,BBC,R,R,2,35,10,7,.429,.600,.714,1.314,.286,20.0%,30.0%,0.67,0.0%,0.50,-,.600,40.0%,.548,100.0%
328,1288363008,J. Taylor,JT Taylor,Taylor,JT,SS,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,R,R,2,40,9,7,.429,.556,.857,1.413,.429,33.3%,22.2%,1.50,0.0%,2.00,-,.750,25.0%,.572,-
328,1217945856,C. Groen,Carter Groen,Groen,Carter,LF,La Salle University,LA S,730183680,La Salle,BBC,R,R,2,15,12,7,.429,.500,.714,1.214,.286,8.3%,0.0%,-,0.0%,1.00,-,.375,62.5%,.464,100.0%
328,1132718592,K. Schaller,Kolton Schaller,Schaller,Kolton,LF,Kent State University,KENT,730315008,Kent State,BBC,L,R,2,35,8,7,.429,.500,.429,.929,.000,25.0%,12.5%,2.00,0.0%,1.00,-,.600,40.0%,.420,-
328,1330954240,R. Cooney,Ryan Cooney,Cooney,Ryan,2B,University of Oregon,ORE,4807,Oregon,BBC,R,R,3,50,16,14,.429,.500,.786,1.286,.357,6.3%,0.0%,-,6.3%,0.67,14.00,.417,58.3%,.540,100.0%
328,1167307520,T. Mally,Tanner Mally,Mally,Tanner,CF,Western Michigan University,WMU,730165248,Western Michigan,BBC,R,R,2,28,10,7,.429,.600,.571,1.171,.143,0.0%,10.0%,0.00,0.0%,1.00,-,.429,57.1%,.518,-
328,1153709824,T. Cooper,Thomas Cooper,Cooper,Thomas,3B,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,4,41,16,14,.429,.500,.500,1.000,.071,18.8%,0.0%,-,0.0%,1.25,-,.545,45.5%,.446,-
328,1477790592,P. Johnson,Peter Johnson,Johnson,Peter,C,Xavier University,XAV,5464,Xavier,BBC,L,R,3,52,14,14,.429,.429,.714,1.143,.286,21.4%,0.0%,-,7.1%,0.67,14.00,.500,30.0%,.487,-
328,1775167022,B. Hubbard,Bryce Hubbard,Hubbard,Bryce,C,Oregon State University,ORST,3111,Oregon State,BBC,L,R,2,24,7,7,.429,.429,.429,.857,.000,0.0%,0.0%,-,0.0%,0.50,-,.429,57.1%,.380,-
328,1342166725,J. Polledo,Jeter Polledo,Polledo,Jeter,SS,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,2,7,7,7,.429,.429,.857,1.286,.429,0.0%,0.0%,-,14.3%,0.50,7.00,.333,66.7%,.543,100.0%
328,1582802158,T. Broussard,Tre Broussard,Broussard,Tre,CF,University of Houston,HOU,3030,Houston,BBC,L,L,2,32,10,7,.429,.500,.429,.929,.000,20.0%,10.0%,2.00,0.0%,0.50,-,.500,50.0%,.408,-
328,1521260608,J. Cartegena,Jorge Cartegena,Cartegena,Jorge,RF,Indiana State University,INST,730350080,Indiana State,BBC,R,R,2,26,9,7,.429,.556,.857,1.413,.429,11.1%,22.2%,0.50,11.1%,1.00,7.00,.400,60.0%,.577,100.0%
328,1654896558,A. Stelogeannis,Aaron Stelogeannis,Stelogeannis,Aaron,CF,Lipscomb University,LIP,730307072,Lipscomb,BBC,R,R,2,40,9,7,.429,.556,.429,.984,.000,0.0%,22.2%,0.00,0.0%,0.50,-,.429,57.1%,.450,100.0%
328,1342168218,C. White,Carter White,White,Carter,2B,University of North Florida,UNF,730296832,North Florida,BBC,L,R,2,35,9,7,.429,.556,.571,1.127,.143,22.2%,22.2%,1.00,0.0%,1.00,-,.600,40.0%,.491,100.0%
328,1530212273,J. Allen,J.C. Allen,Allen,J.C.,3B,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,2,31,8,7,.429,.500,.429,.929,.000,25.0%,12.5%,2.00,0.0%,1.00,-,.600,40.0%,.420,-
328,1342167003,K. Panganiban,Kyle Panganiban,Panganiban,Kyle,3B,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,2,30,9,7,.429,.556,1.429,1.984,1.000,11.1%,11.1%,1.00,22.2%,1.50,3.50,.250,75.0%,.748,100.0%
328,1402749004,R. Pruitt,Ryan Pruitt,Pruitt,Ryan,CF,University of South Florida,USF,2292,South Florida,BBC,L,L,2,23,8,7,.429,.500,.714,1.214,.286,12.5%,12.5%,1.00,0.0%,2.00,-,.500,50.0%,.506,100.0%
328,1755480502,C. Wulf,Caleb Wulf,Wulf,Caleb,1B,University of Iowa,IOWA,1232,Iowa,BBC,L,R,2,22,9,7,.429,.500,.429,.929,.000,0.0%,0.0%,-,0.0%,0.00,-,.429,57.1%,.423,-
328,1370253647,J. Jimenez,Jorsixt Jimenez,Jimenez,Jorsixt,RF,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,2,32,8,7,.429,.375,1.286,1.661,.857,37.5%,0.0%,-,25.0%,1.00,3.50,.333,66.7%,.618,-
328,1976265199,J. Smith,Jackson Smith,Smith,Jackson,1B,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,L,R,2,44,10,7,.429,.400,.857,1.257,.429,20.0%,10.0%,2.00,10.0%,1.50,7.00,.333,66.7%,.450,-
328,1908193693,C. Lofton,Cecil Lofton,Lofton,Cecil,1B,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,2,37,9,7,.429,.556,.857,1.413,.429,0.0%,22.2%,0.00,11.1%,0.50,7.00,.333,66.7%,.562,100.0%
328,1136254858,D. Lee,Darryl Lee,Lee,Darryl,CF,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,L,L,2,14,8,7,.429,.500,.429,.929,.000,12.5%,12.5%,1.00,0.0%,1.50,-,.500,50.0%,.420,-
328,1912513890,D. Wouters,Dyrenson Wouters,Wouters,Dyrenson,SS,University of Dayton,DAY,730194688,Dayton,BBC,R,R,2,22,8,7,.429,.375,.429,.804,.000,0.0%,0.0%,-,0.0%,1.00,-,.375,62.5%,.332,100.0%
328,1122756934,C. Collins,Cade Collins,Collins,Cade,3B,Wofford College,WOF,730176512,Wofford,BBC,L,R,3,51,12,7,.429,.667,.571,1.238,.143,8.3%,41.7%,0.20,0.0%,1.33,-,.500,50.0%,.543,66.7%
328,1020700976,O. Siegert,Owen Siegert,Siegert,Owen,TWP,South Dakota State University,SDST,730323200,South Dakota State,BBC,L,L,2,33,7,7,.429,.429,.429,.857,.000,28.6%,0.0%,-,0.0%,1.00,-,.600,40.0%,.380,-
328,1589145330,J. Slater,Jay Slater,Slater,Jay,C,Northwestern University,NW,730247680,Northwestern,BBC,R,R,2,21,8,7,.429,.500,.857,1.357,.429,0.0%,0.0%,-,12.5%,0.50,7.00,.333,66.7%,.566,-
328,1929203149,J. Stewart,Jaquae Stewart,Stewart,Jaquae,P,Texas State University,TXST,5420,Texas State,BBC,L,L,2,27,9,7,.429,.556,.429,.984,.000,33.3%,11.1%,3.00,0.0%,1.50,-,.750,25.0%,.454,0.0%
328,1763126197,E. Menzel,Evan Menzel,Menzel,Evan,3B,University of Connecticut,CONN,5486,Connecticut,BBC,L,R,2,14,9,7,.429,.556,.571,1.127,.143,11.1%,11.1%,1.00,0.0%,1.00,-,.500,50.0%,.494,-
328,1539649111,J. Solier,Julio Solier,Solier,Julio,2B,Boston College,BC,227,Boston College,BBC,R,R,2,23,8,7,.429,.429,.429,.857,.000,12.5%,0.0%,-,0.0%,1.00,-,.500,50.0%,.380,-
328,1136695181,J. Redding,Jake Redding,Redding,Jake,C,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,2,15,8,7,.429,.500,.714,1.214,.286,25.0%,12.5%,2.00,0.0%,0.00,-,.600,40.0%,.511,-
328,1657497344,C. Crowson,Connor Crowson,Crowson,Connor,IF,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,2,29,7,7,.429,.429,.429,.857,.000,42.9%,0.0%,-,0.0%,0.50,-,.750,25.0%,.380,-
328,1148387521,R. Quiban,Rominic Quiban,Quiban,Rominic,OF,University of Nevada,NEV,4784,Nevada,BBC,L,L,2,30,7,7,.429,.429,.571,1.000,.143,28.6%,0.0%,-,0.0%,0.00,-,.600,40.0%,.432,0.0%
328,1300403597,E. Pena,Ethan Pena,Pena,Ethan,IF,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,R,R,2,32,10,7,.429,.500,.714,1.214,.286,0.0%,20.0%,0.00,0.0%,0.50,-,.375,62.5%,.478,-
328,1310947890,M. Farina,Michael Farina,Farina,Michael,IF,University of Illinois,ILL,730163456,Illinois,BBC,R,R,2,33,10,7,.429,.600,1.000,1.600,.571,0.0%,0.0%,-,10.0%,1.50,7.00,.333,66.7%,.635,100.0%
328,1321828167,V. Spotofora,Vinny Spotofora,Spotofora,Vinny,IF,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,L,R,2,37,9,7,.429,.556,.571,1.127,.143,33.3%,22.2%,1.50,0.0%,1.50,-,.750,25.0%,.491,-
328,1342170337,L. Reyes,Luca Reyes,Reyes,Luca,OF,Florida International University,FIU,4468,Florida International,BBC,L,L,2,31,8,7,.429,.500,1.143,1.643,.714,25.0%,0.0%,-,12.5%,0.50,7.00,.500,50.0%,.653,-
328,1700459164,A. Mhoon,Andrew Mhoon,Mhoon,Andrew,IF,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,R,R,2,40,8,7,.429,.500,.571,1.071,.143,12.5%,12.5%,1.00,0.0%,0.00,-,.500,50.0%,.465,-
328,1872761341,J. Novak,Jayden Novak,Novak,Jayden,C,La Salle University,LA S,730183680,La Salle,BBC,R,R,2,19,10,7,.429,.600,.857,1.457,.429,10.0%,20.0%,0.50,0.0%,2.50,-,.500,50.0%,.588,100.0%
328,1133776863,B. Hewitt,Brady Hewitt,Hewitt,Brady,IF,Fresno State,FRES,730384384,Fresno State,BBC,R,R,2,34,8,7,.429,.500,.714,1.214,.286,0.0%,12.5%,0.00,0.0%,0.50,-,.429,57.1%,.506,-
328,1342170785,J. Pennella,JP Pennella,Pennella,JP,OF,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,L,R,3,33,10,7,.429,.600,.571,1.171,.143,20.0%,10.0%,2.00,0.0%,1.00,-,.600,40.0%,.518,100.0%
328,1100629728,M. Pilarski,Mason Pilarski,Pilarski,Mason,2B,Western Michigan University,WMU,730165248,Western Michigan,BBC,R,R,2,33,7,7,.429,.429,.429,.857,.000,14.3%,0.0%,-,0.0%,0.00,-,.500,50.0%,.380,-
328,1116092114,K. Webb,Kutter-Gage Webb,Webb,Kutter-Gage,IF,Rice University,RICE,2352,Rice,BBC,L,R,2,33,8,7,.429,.429,.857,1.286,.429,0.0%,0.0%,-,12.5%,0.50,7.00,.333,66.7%,.543,-
328,1694568495,T. Carson,Tanner Carson,Carson,Tanner,TWP,Texas State University,TXST,5420,Texas State,BBC,R,R,2,26,8,7,.429,.500,.714,1.214,.286,25.0%,0.0%,-,0.0%,1.00,-,.600,40.0%,.510,100.0%
397,1336579840,H. Ford,Henry Ford,Ford,Henry,RF,University of Tennessee,TENN,730153728,Tennessee,BBC,R,R,3,63,15,12,.417,.533,.750,1.283,.333,13.3%,20.0%,0.67,6.7%,1.67,12.00,.444,55.6%,.535,-
397,1183357952,A. Reese,Ace Reese,Reese,Ace,3B,Mississippi State University,MSST,5080,Mississippi State,BBC,L,R,3,55,13,12,.417,.462,.917,1.378,.500,30.8%,0.0%,-,7.7%,2.00,12.00,.571,42.9%,.569,-
397,1303465472,R. Kroepel,Ryan Kroepel,Kroepel,Ryan,3B,Utah Tech University,UTU,730318592,Utah Tech,BBC,L,R,3,26,15,12,.417,.533,.417,.950,.000,6.7%,13.3%,0.50,0.0%,1.67,-,.455,54.5%,.437,100.0%
397,1259961344,C. Meglio,Charlie Meglio,Meglio,Charlie,3B,Rutgers University,RUTG,730229248,Rutgers,BBC,R,R,3,66,15,12,.417,.533,.500,1.033,.083,13.3%,13.3%,1.00,0.0%,0.67,-,.500,50.0%,.461,100.0%
397,1142070272,R. Lavey,Robbie Lavey,Lavey,Robbie,C,George Washington University,GW,730249216,George Washington,BBC,L,R,3,57,14,12,.417,.500,.917,1.417,.500,21.4%,14.3%,1.50,7.1%,0.33,12.00,.500,50.0%,.576,100.0%
397,1139923456,A. Francis,Austin Francis,Francis,Austin,2B,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,3,56,14,12,.417,.500,.417,.917,.000,7.1%,7.1%,1.00,0.0%,0.33,-,.455,54.5%,.418,100.0%
397,1309513728,N. Brewer,Nathan Brewer,Brewer,Nathan,LF,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,L,L,3,40,13,12,.417,.462,.750,1.212,.333,7.7%,7.7%,1.00,7.7%,0.67,12.00,.400,60.0%,.510,-
397,1099412224,T. Recchio,Tanner Recchio,Recchio,Tanner,2B,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,L,R,3,51,15,12,.417,.462,.667,1.128,.250,6.7%,6.7%,1.00,0.0%,0.33,-,.455,54.5%,.479,100.0%
397,1216102144,R. Gump,Rocco Gump,Gump,Rocco,3B,Creighton University,CREI,730243840,Creighton,BBC,L,R,3,56,15,12,.417,.533,.500,1.033,.083,26.7%,6.7%,4.00,0.0%,0.33,-,.625,37.5%,.463,-
397,1207467008,B. Stanley,Brett Stanley,Stanley,Brett,LF,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,3,19,14,12,.417,.462,.500,.962,.083,14.3%,0.0%,-,0.0%,1.00,-,.500,40.0%,.425,75.0%
397,1184448000,C. Katz,Chris Katz,Katz,Chris,LF,Mercer University,MER,730240512,Mercer,BBC,R,R,3,52,14,12,.417,.500,.667,1.167,.250,14.3%,14.3%,1.00,7.1%,1.00,12.00,.444,55.6%,.498,-
397,1208031744,D. Winebrenner,Dylan Winebrenner,Winebrenner,Dylan,C,University of Richmond,RICH,730171904,Richmond,BBC,R,R,3,44,14,12,.417,.500,.750,1.250,.333,7.1%,0.0%,-,7.1%,1.67,12.00,.400,50.0%,.528,-
397,1178187520,A. Dewberry,Amman Dewberry,Dewberry,Amman,RF,Presbyterian College,PRE,730184192,Presbyterian,BBC,L,L,3,33,12,12,.417,.417,.667,1.083,.250,25.0%,0.0%,-,8.3%,1.00,12.00,.500,37.5%,.464,-
397,1069517064,M. Nowak,Mark Nowak,Nowak,Mark,CF,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,R,R,3,64,15,12,.417,.467,.417,.883,.000,13.3%,13.3%,1.00,0.0%,0.00,-,.455,54.5%,.388,66.7%
397,1192075994,T. Kamerer,Tyler Kamerer,Kamerer,Tyler,2B,Marshall University,MRSH,730333696,Marshall,BBC,R,R,3,51,15,12,.417,.533,.667,1.200,.250,0.0%,13.3%,0.00,0.0%,1.67,-,.417,50.0%,.510,-
397,1171396433,J. Gimenez,Jax Gimenez,Gimenez,Jax,RF,University of Oregon,ORE,4807,Oregon,BBC,S,R,3,42,12,12,.417,.417,.667,1.083,.250,0.0%,0.0%,-,0.0%,1.00,-,.417,58.3%,.461,100.0%
397,1376880456,G. Natividad,Gabe Natividad,Natividad,Gabe,2B,Winthrop University,WIN,730294784,Winthrop,BBC,R,R,3,53,15,12,.417,.533,.417,.950,.000,26.7%,6.7%,4.00,0.0%,1.33,-,.625,37.5%,.439,100.0%
397,1563240163,G. Kelly,Gavin Kelly,Kelly,Gavin,C,West Virginia University,WVU,5327,West Virginia,BBC,R,R,3,53,15,12,.417,.533,.667,1.200,.250,13.3%,20.0%,0.67,0.0%,1.67,-,.500,50.0%,.508,50.0%
397,1629849949,G. Melara,Gabriel Melara,Melara,Gabriel,OF,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,3,57,12,12,.417,.417,.583,1.000,.167,25.0%,0.0%,-,0.0%,0.67,-,.556,44.4%,.430,-
397,1076022361,E. Ball,Ethan Ball,Ball,Ethan,IF,Virginia Tech,VT,2293,Virginia Tech,BBC,L,R,3,55,14,12,.417,.500,.417,.917,.000,21.4%,14.3%,1.50,0.0%,1.00,-,.556,44.4%,.416,-
397,1910272982,A. Davis,Andrew Davis,Davis,Andrew,IF,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,3,48,16,12,.417,.438,.500,.938,.083,18.8%,12.5%,1.50,0.0%,1.00,-,.455,54.5%,.387,100.0%
397,1892359627,D. Littlefield,Dylan Littlefield,Littlefield,Dylan,OF,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,L,R,3,45,13,12,.417,.462,.500,.962,.083,7.7%,7.7%,1.00,0.0%,0.67,-,.455,54.5%,.423,100.0%
397,1062853620,K. Krupp,Kyle Krupp,Krupp,Kyle,OF,Morehead State University,MORE,730158080,Morehead State,BBC,L,L,3,50,13,12,.417,.462,.667,1.128,.250,23.1%,7.7%,3.00,0.0%,1.33,-,.556,44.4%,.476,75.0%
397,1442526467,M. Costello,Malachi Costello,Costello,Malachi,CF,Iona College,IONA,730242048,Iona,BBC,R,R,3,34,12,12,.417,.417,.417,.833,.000,8.3%,0.0%,-,0.0%,0.00,-,.455,54.5%,.369,-
397,1812468156,J. Johnson,Jacob Johnson,Johnson,Jacob,IF,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,3,39,12,12,.417,.417,1.000,1.417,.583,25.0%,0.0%,-,16.7%,0.67,6.00,.429,57.1%,.590,-
422,1260774912,P. Picot,Parker Picot,Picot,Parker,RF,Michigan State University,MSU,1551,Michigan State,BBC,R,R,2,46,9,5,.400,.556,1.600,2.156,1.200,11.1%,11.1%,1.00,22.2%,1.00,2.50,.000,100.0%,.690,-
422,1309420288,L. Haworth,Lane Haworth,Haworth,Lane,RF,UTSA,UTSA,730373120,UTSA,BBC,L,L,2,40,11,10,.400,.455,.400,.855,.000,9.1%,9.1%,1.00,0.0%,0.50,-,.444,55.6%,.386,100.0%
422,1297499392,K. Grady,Keaton Grady,Grady,Keaton,2B,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,S,R,2,32,9,5,.400,.667,.800,1.467,.400,0.0%,33.3%,0.00,0.0%,1.50,-,.400,60.0%,.591,100.0%
422,1084406528,T. Curry,Thomas Curry,Curry,Thomas,C,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,1,20,5,5,.400,.400,.600,1.000,.200,0.0%,0.0%,-,0.0%,1.00,-,.400,60.0%,.428,-
422,1297341952,D. Pena,Daylan Pena,Pena,Daylan,1B,Murray State University,MURR,730188032,Murray State,BBC,R,R,1,6,5,5,.400,.400,.400,.800,.000,0.0%,0.0%,-,0.0%,0.00,-,.400,60.0%,.355,-
422,1313136384,C. Hewitt,Carter Hewitt,Hewitt,Carter,3B,Army West Point,ARMY,4744,Army,BBC,R,R,3,43,10,10,.400,.400,.600,1.000,.200,40.0%,0.0%,-,0.0%,0.00,-,.667,33.3%,.428,-
422,1310330368,C. Kerce,Carson Kerce,Kerce,Carson,3B,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,3,43,12,10,.400,.500,.500,1.000,.100,8.3%,16.7%,0.50,0.0%,1.33,-,.444,55.6%,.442,-
422,1207810816,C. Boyd,Cameron Boyd,Boyd,Cameron,RF,Ohio University,OHIO,730298368,Ohio,BBC,R,R,1,7,5,5,.400,.400,.600,1.000,.200,20.0%,0.0%,-,0.0%,1.00,-,.500,50.0%,.428,-
422,1261687040,T. Zwirecki,Thomas Zwirecki,Zwirecki,Thomas,C,Canisius College,CAN,730218752,Canisius,BBC,R,R,3,59,13,10,.400,.538,.800,1.338,.400,38.5%,23.1%,1.67,7.7%,0.33,10.00,.750,25.0%,.549,-
422,1227126016,A. Sullivan,Adam Sullivan,Sullivan,Adam,1B,Le Moyne College,LMC,730202880,Le Moyne,BBC,L,R,2,28,7,5,.400,.571,.600,1.171,.200,42.9%,28.6%,1.50,0.0%,0.00,-,1.000,0.0%,.505,-
422,1162302721,M. Chiaravallo,Michael Chiaravallo,Chiaravallo,Michael,RF,Bucknell University,BUCK,730214144,Bucknell,BBC,R,R,3,28,10,10,.400,.400,.700,1.100,.300,10.0%,0.0%,-,10.0%,0.33,10.00,.375,62.5%,.469,-
422,1195438336,A. Covarrubias,Abbrie Covarrubias,Covarrubias,Abbrie,2B,University of Southern California,USC,5047,USC,BBC,R,R,2,45,8,5,.400,.625,.400,1.025,.000,12.5%,37.5%,0.33,0.0%,2.00,-,.500,25.0%,.483,100.0%
422,1336589568,J. Advincula,Jarren Advincula,Advincula,Jarren,2B,Georgia Tech,GT,100,Georgia Tech,BBC,L,R,3,55,15,10,.400,.571,.400,.971,.000,6.7%,20.0%,0.33,0.0%,1.67,-,.444,55.6%,.455,100.0%
422,1207712256,M. Dye,Macaddin Dye,Dye,Macaddin,C,Old Dominion University,ODU,3090,Old Dominion,BBC,R,R,2,41,10,5,.400,.700,.400,1.100,.000,20.0%,30.0%,0.67,0.0%,1.50,-,.667,33.3%,.532,-
422,1287378688,E. Murdoch,Ethan Murdoch,Murdoch,Ethan,RF,Marshall University,MRSH,730333696,Marshall,BBC,R,R,2,34,10,10,.400,.400,.500,.900,.100,20.0%,0.0%,-,0.0%,1.50,-,.500,50.0%,.391,-
422,1179735808,W. Jesske,Will Jesske,Jesske,Will,C,University of Nebraska,NEB,4865,Nebraska,BBC,R,R,2,28,7,5,.400,.571,.400,.971,.000,14.3%,14.3%,1.00,0.0%,0.00,-,.500,50.0%,.457,-
422,1306794496,C. Prout,Cole Prout,Prout,Cole,RF,Central Michigan University,CMU,5342,Central Michigan,BBC,L,L,2,20,9,5,.400,.667,1.000,1.667,.600,11.1%,33.3%,0.33,11.1%,1.00,5.00,.333,66.7%,.637,100.0%
422,1164722176,B. West,Brylan West,West,Brylan,1B,University of Miami,MIA,236,Miami,BBC,R,R,2,33,9,5,.400,.556,.400,.956,.000,0.0%,22.2%,0.00,0.0%,0.50,-,.333,66.7%,.433,100.0%
422,1196785152,J. Torres,Jason Torres,Torres,Jason,3B,University of Alabama,ALA,730206976,Alabama,BBC,R,R,3,53,13,10,.400,.538,.400,.938,.000,23.1%,23.1%,1.00,0.0%,0.33,-,.571,28.6%,.434,-
422,1303489280,N. Garagozzo,Nick Garagozzo,Garagozzo,Nick,3B,Georgia State University,GAST,730239744,Georgia State,BBC,L,R,3,53,14,10,.400,.571,.400,.971,.000,21.4%,28.6%,0.75,0.0%,0.33,-,.571,28.6%,.452,0.0%
422,1178189056,B. Hammonds,Brycen Hammonds,Hammonds,Brycen,CF,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,2,36,9,5,.400,.667,.600,1.267,.200,22.2%,33.3%,0.67,0.0%,1.00,-,.667,33.3%,.551,100.0%
422,1126278912,E. Gibson,Ethan Gibson,Gibson,Ethan,2B,Virginia Tech,VT,2293,Virginia Tech,BBC,R,R,3,45,11,10,.400,.455,.400,.855,.000,0.0%,9.1%,0.00,0.0%,0.67,-,.400,60.0%,.386,-
422,1130833664,A. Avalos,Anthony Avalos,Avalos,Anthony,2B,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,3,49,11,10,.400,.455,.500,.955,.100,18.2%,0.0%,-,0.0%,0.33,-,.500,50.0%,.422,-
422,1210577664,T. Cowan,Ty Cowan,Cowan,Ty,2B,University of Washington,WASH,3110,Washington,BBC,L,R,2,32,7,5,.400,.571,.600,1.171,.200,14.3%,0.0%,-,0.0%,0.00,-,.500,50.0%,.513,0.0%
422,1207753728,J. Armsey,Jake Armsey,Armsey,Jake,3B,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,R,R,2,45,10,5,.400,.700,.600,1.300,.200,10.0%,50.0%,0.20,0.0%,1.50,-,.500,50.0%,.562,-
422,1194289152,J. Rader,Jeremy Rader,Rader,Jeremy,2B,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,3,51,13,10,.400,.538,.500,1.038,.100,15.4%,7.7%,2.00,0.0%,0.33,-,.500,50.0%,.466,-
422,1198647808,T. Fetterman,Tyler Fetterman,Fetterman,Tyler,P,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,L,3,59,14,10,.400,.571,1.000,1.571,.600,14.3%,21.4%,0.67,7.1%,1.33,10.00,.429,57.1%,.614,-
422,1238575360,L. Mansy,Luke Mansy,Mansy,Luke,3B,University of New Mexico,UNM,730153472,New Mexico,BBC,L,R,2,38,11,10,.400,.455,.500,.955,.100,0.0%,9.1%,0.00,0.0%,1.00,-,.400,60.0%,.419,-
422,1184440064,T. Sanders,Travis Sanders,Sanders,Travis,2B,Baylor University,BAY,3033,Baylor,BBC,R,R,2,42,9,5,.400,.667,.800,1.467,.400,11.1%,44.4%,0.25,0.0%,1.50,-,.500,25.0%,.584,100.0%
422,1306877184,K. Miller,Kameron Miller,Miller,Kameron,1B,Appalachian State University,APP,730240256,Appalachian State,BBC,R,R,3,62,14,10,.400,.571,.600,1.171,.200,21.4%,21.4%,1.00,0.0%,1.33,-,.571,42.9%,.475,-
422,1198474496,M. Hartman,Max Hartman,Hartman,Max,LF,Washington State University,WSU,4505,Washington State,BBC,L,R,3,30,12,10,.400,.500,.800,1.300,.400,25.0%,8.3%,3.00,8.3%,1.33,10.00,.500,50.0%,.540,50.0%
422,1306721536,B. Raleigh,Brody Raleigh,Raleigh,Brody,P,Western Carolina University,WCU,730278144,Western Carolina,BBC,R,R,3,54,12,10,.400,.500,.500,1.000,.100,16.7%,8.3%,2.00,0.0%,1.33,-,.500,50.0%,.445,100.0%
422,1085403392,D. Krupinski,Dom Krupinski,Krupinski,Dom,3B,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,L,R,2,28,12,10,.400,.500,.800,1.300,.400,33.3%,16.7%,2.00,8.3%,1.50,10.00,.600,20.0%,.537,100.0%
422,1212104449,C. Barczi,Colin Barczi,Barczi,Colin,C,Vanderbilt University,VAN,5046,Vanderbilt,BBC,R,R,2,39,10,10,.400,.400,1.300,1.700,.900,10.0%,0.0%,-,30.0%,2.00,3.33,.167,66.7%,.697,-
422,1170236416,W. Henson,Will Henson,Henson,Will,LF,Ohio University,OHIO,730298368,Ohio,BBC,R,R,1,7,5,5,.400,.400,.400,.800,.000,20.0%,0.0%,-,0.0%,0.00,-,.500,50.0%,.355,100.0%
422,1070924665,S. Mexico,Sebastian Mexico,Mexico,Sebastian,RF,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,L,R,3,46,12,10,.400,.500,.900,1.400,.500,8.3%,8.3%,1.00,0.0%,1.33,-,.444,55.6%,.563,-
422,1342166643,A. Quiller,Ashton Quiller,Quiller,Ashton,CF,Arkansas State University,ARST,730290176,Arkansas State,BBC,R,L,2,40,10,10,.400,.400,.400,.800,.000,20.0%,0.0%,-,0.0%,1.00,-,.500,50.0%,.355,100.0%
