Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,P,PA,AB,BA,OBP,SLG,OPS,ISO,K%,BB%,K/BB,HR%,R/G,AB/HR,BABIP,OutRate,WOBA,SB%
20,1304709376,C. Sanderson,Case Sanderson,Sanderson,Case,1B,University of Nebraska,NEB,4865,Nebraska,BBC,L,L,2,30,10,7,.714,.800,.857,1.657,.143,0.0%,30.0%,0.00,0.0%,2.00,-,.714,28.6%,.689,-
20,1056312556,Z. Thompson,Zack Thompson,Thompson,Zack,C,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,R,R,4,41,16,14,.714,.750,1.000,1.750,.286,6.3%,6.3%,1.00,0.0%,2.00,-,.769,23.1%,.732,-
20,1307928448,C. Miller,Caden Miller,Miller,Caden,1B,UTSA,UTSA,730373120,UTSA,BBC,L,R,2,34,8,7,.714,.750,.857,1.607,.143,12.5%,12.5%,1.00,0.0%,2.00,-,.833,16.7%,.687,100.0%
20,1388690490,C. Walter,Cade Walter,Walter,Cade,OF,Jacksonville University,JAC,730335488,Jacksonville,BBC,L,R,2,13,9,7,.714,.778,1.571,2.349,.857,0.0%,11.1%,0.00,22.2%,2.50,3.50,.600,40.0%,.904,100.0%
28,1080823296,K. McDaniel,Kyle McDaniel,McDaniel,Kyle,2B,Utah Tech University,UTU,730318592,Utah Tech,BBC,L,R,3,29,15,10,.700,.800,.800,1.600,.100,0.0%,26.7%,0.00,0.0%,2.33,-,.700,30.0%,.671,100.0%
28,1516420551,S. Solitaria,Sawyer Solitaria,Solitaria,Sawyer,1B,Kent State University,KENT,730315008,Kent State,BBC,R,R,2,26,10,10,.700,.700,1.300,2.000,.600,10.0%,0.0%,-,20.0%,2.00,5.00,.714,28.6%,.849,-
30,1229118720,R. Lee,Ryan Lee,Lee,Ryan,1B,UC Davis,UCD,730153984,UC Davis,BBC,R,R,2,27,8,6,.667,.750,.833,1.583,.167,0.0%,25.0%,0.00,0.0%,0.50,-,.667,33.3%,.663,-
30,1197618176,L. Stulga,Luke Stulga,Stulga,Luke,CF,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,2,28,9,9,.667,.667,1.444,2.111,.778,11.1%,0.0%,-,11.1%,1.50,9.00,.714,28.6%,.872,0.0%
30,1307084288,A. Magpoc,Adam Magpoc,Magpoc,Adam,LF,San Diego State University,SDSU,730218496,San Diego State,BBC,S,R,2,46,11,9,.667,.636,1.000,1.636,.333,9.1%,9.1%,1.00,9.1%,1.50,9.00,.625,37.5%,.651,100.0%
30,1249016576,Y. Dessureault,Yohann Dessureault,Dessureault,Yohann,2B,Stetson University,STET,730261504,Stetson,BBC,L,R,2,23,9,6,.667,.667,.833,1.500,.167,0.0%,0.0%,-,0.0%,0.00,-,.571,42.9%,.596,-
