# Document parsed from: Copy_of_Rate_7_2.numbers

## Page 1

|playerFullName|player|playerFirstName|pos|newestTeamName|newestTeamLocation|batsHand|throwsHand|Age|AB|BA|OBP|SLG|OPS|ISO|
|Cole Smith|Smith|Cole|2B|Youngstown State University|Youngstown State|L|R|0|199|0.291|0.424|0.487|0.911|0.196|
|Camden Johnson|Johnson|Camden|3B|Wichita State University|Wichita State|L|R|21|232|0.323|0.401|0.431|0.832|0.108|
|Kam Durnin|Durnin|Kam|SS|Wichita State University|Wichita State|R|R|21|207|0.251|0.352|0.372|0.724|0.121|
|Josh Livingston|Livingston|Josh|2B|Wichita State University|Wichita State|L|R|22|212|0.283|0.403|0.552|0.955|0.269|
|Cam Harthan|Harthan|Cam|CF|Marshall University|Marshall|L|L|22|207|0.261|0.345|0.338|0.683|0.077|
|Robbie Burnett|Burnett|Robbie|RF|University of Georgia|Georgia|L|R|23|192|0.307|0.477|0.693|1.169|0.385|
|Ethan Mendoza|Mendoza|Ethan|2B|University of Texas|Texas|R|R|21|225|0.329|0.433|0.471|0.904|0.142|
|Kaeden Kent|Kent|Kaeden|SS|Texas A\&M University|Texas A\&M|L|R|22|204|0.279|0.398|0.544|0.943|0.265|
|Kyle Walker|Walker|Kyle|2B|Arizona State University|Arizona State|R|R|23|217|0.35|0.449|0.544|0.992|0.194|
|Michael Robertson|Robertson|Michael|CF|Liberty University|Liberty|L|R|23|178|0.163|0.286|0.208|0.494|0.045|
|Judah Morris|Morris|Judah|1B|Illinois State University|Illinois State|R|R|23|198|0.298|0.466|0.667|1.132|0.369|
|Daniel Pacella|Pacella|Daniel|LF|Illinois State University|Illinois State|L|L|0|231|0.355|0.429|0.714|1.143|0.359|
|Kaleb Freeman|Freeman|Kaleb|2B|Georgia State University|Georgia State|S|R|23|209|0.349|0.504|0.732|1.236|0.383|
|Clay Jacobs|Jacobs|Clay|RF|Ball State University|Ball State|L|R|24|144|0.243|0.371|0.361|0.733|0.118|
|Brayden Evans|Evans|Brayden|LF|Lamar University|Lamar|L|L|22|235|0.302|0.4|0.489|0.889|0.187|
|Cal Sefcik|Sefcik|Cal|LF|University of Cincinnati|Cincinnati|R|R|21|211|0.289|0.368|0.45|0.819|0.161|
|Vince Cimini|Cimini|Vince|2B|Boston College|Boston College|R|R|25|199|0.266|0.358|0.377|0.735|0.111|
|Kyle Wolff|Wolff|Kyle|1B|Boston College|Boston College|R|L|22|204|0.25|0.372|0.402|0.774|0.152|
|Alex Lane|Lane|Alex|1B|Northeastern University|Northeastern|R|R|24|205|0.234|0.323|0.346|0.67|0.112|
|Kerrington Cross|Cross|Kerrington|3B|University of Cincinnati|Cincinnati|R|R|23|207|0.396|0.526|0.647|1.173|0.251|
|Shunsuke Sakaino|Sakaino|Shunsuke|2B|University of Hawaii, Manoa|Hawaii|L|R|23|206|0.306|0.442|0.408|0.85|0.102|
|Elijah Pelayo|Pelayo|Elijah|SS|CSU Bakersfield|CSU Bakersfield|R|R|0|196|0.27|0.363|0.327|0.689|0.056|
|Cameron Sewell|Sewell|Cameron|2B|Sacramento State University|Sacramento State|L|R|0|182|0.253|0.364|0.401|0.765|0.148|
|Trace Morrison|Morrison|Trace|1B|Tarleton State University|Tarleton State|L|R|0|212|0.283|0.372|0.472|0.844|0.189|
|Tyson Drake|Drake|Tyson|LF|Tarleton State University|Tarleton State|L|L|0|232|0.259|0.344|0.509|0.853|0.25|
|Andrew Schuldt|Schuldt|Andrew|C|Campbell University|Campbell|R|R|22|194|0.263|0.424|0.5|0.924|0.237|
|Peyton Bonds|Bonds|Peyton|CF|Rutgers University|Rutgers|R|R|20|223|0.3|0.384|0.43|0.814|0.13|
|Charlie Meglio|Meglio|Charlie|3B|Campbell University|Campbell|R|R|21|212|0.255|0.332|0.5|0.832|0.245|
|Nick Monile|Monile|Nick|CF|University of North Florida|North Florida|L|L|22|198|0.338|0.482|0.46|0.942|0.121|
|Camden Troyer|Troyer|Camden|TWP|Liberty University|Liberty|L|L|23|210|0.3|0.406|0.524|0.93|0.224|
|Tanner Marsh|Marsh|Tanner|SS|Liberty University|Liberty|R|R|20|231|0.294|0.378|0.377|0.755|0.082|
|Maximus Martin|Martin|Maximus|SS|Kansas State University|Kansas State|R|R|22|206|0.32|0.42|0.612|1.031|0.291|
|Jesse Donohoe|Donohoe|Jesse|3B|Georgia State University|Georgia State|L|R|23|209|0.282|0.414|0.598|1.013|0.316|
|Case Sanderson|Sanderson|Case|1B|University of Nebraska|Nebraska|L|L|21|199|0.307|0.416|0.417|0.833|0.111|
|Ben Parker|Parker|Ben|CF|College of William & Mary|William & Mary|R|R|25|231|0.407|0.498|0.684|1.182|0.277|
|Lucas Carmichael|Carmichael|Lucas|LF|College of William & Mary|William & Mary|L|L|24|238|0.366|0.415|0.571|0.987|0.206|
|Christian Rush|Rush|Christian|RF|College of William & Mary|William & Mary|R|L|0|216|0.292|0.381|0.546|0.927|0.255|
|Cole Hage|Hage|Cole|LF|University of Kentucky|Kentucky|R|R|23|202|0.322|0.444|0.574|1.019|0.252|
|Bryan Padilla|Padilla|Bryan|2B|University of Connecticut|Connecticut|R|R|23|190|0.258|0.378|0.384|0.762|0.126|
|Teddy Deters|Deters|Teddy|RF|Creighton University|Creighton|R|R|23|202|0.248|0.379|0.361|0.741|0.114|
|Will MacLean|MacLean|Will|1B|Creighton University|Creighton|L|L|24|198|0.242|0.377|0.429|0.806|0.187|
|Brylan West|West|Brylan|1B|Florida International University|Florida International|R|R|24|226|0.336|0.432|0.544|0.977|0.208|
|Eli Putnam|Putnam|Eli|1B|Davidson College|Davidson|R|R|23|241|0.349|0.419|0.66|1.079|0.311|
|Michael O'Shaughnessy|O'Shaughnessy|Michael|3B|Davidson College|Davidson|L|R|21|218|0.367|0.482|0.688|1.17|0.321|
|Cameron Hassert|Hassert|Cameron|SS|Loyola Marymount University|Loyola Marymount|L|R|0|219|0.333|0.443|0.47|0.913|0.137|
|Ryan Weingartner|Weingartner|Ryan|SS|Penn State University|Penn State|R|R|21|224|0.25|0.384|0.469|0.853|0.219|
|Kyle Garbowski|Garbowski|Kyle|1B|Quinnipiac University|Quinnipiac|L|R|21|246|0.329|0.392|0.402|0.795|0.073|
|Luke Nixon|Nixon|Luke|2B|North Carolina State University|North Carolina State|L|R|21|220|0.295|0.386|0.459|0.845|0.164|
|Thomas Rollauer|Rollauer|Thomas|RF|The Citadel|The Citadel|R|R|23|184|0.288|0.393|0.337|0.73|0.049|
|Travis Elliott|Elliott|Travis|2B|The Citadel|The Citadel|R|R|0|203|0.305|0.385|0.419|0.803|0.113|
|Brennan Rowe|Rowe|Brennan|SS|Northern Kentucky University|Northern Kentucky|R|R|24|202|0.248|0.343|0.396|0.739|0.149|
|Lorenzo Meola|Meola|Lorenzo|SS|Stetson University|Stetson|R|R|22|222|0.329|0.406|0.536|0.942|0.207|
|Kenny Mallory Jr.|Mallory Jr.|Kenny|1B|Elon University|Elon|L|L|23|187|0.283|0.414|0.385|0.799|0.102|
|Tank Yaghoubi|Yaghoubi|Tank|CF|Elon University|Elon|L|L|22|193|0.321|0.404|0.352|0.756|0.031|
|Jordan Bach|Bach|Jordan|CF|Southern Illinois University|Southern Illinois|L|R|0|220|0.309|0.432|0.564|0.995|0.255|
|Colton Coates|Coates|Colton|1B|Louisiana Tech University|Louisiana Tech|R|R|21|217|0.244|0.366|0.359|0.726|0.115|
|Cam Schneider|Schneider|Cam|LF|Fresno State|Fresno State|R|R|21|176|0.273|0.342|0.335|0.677|0.063|
|Tucker Stockman|Stockman|Tucker|C|The University of Southern Mississippi|Southern Miss|R|R|21|190|0.332|0.414|0.474|0.887|0.142|
|Slade McCloud|McCloud|Slade|2B|Tarleton State University|Tarleton State|L|R|0|218|0.358|0.415|0.541|0.957|0.183|
|Konni Durschlag|Durschlag|Konni|CF|High Point University|High Point|R|R|0|221|0.43|0.543|0.747|1.289|0.317|
|Rylan Galvan|Galvan|Rylan|C|University of Texas|Texas|R|R|22|186|0.296|0.452|0.613|1.065|0.317|
|Bryce Molinaro|Molinaro|Bryce|3B|Penn State University|Penn State|R|R|22|225|0.262|0.369|0.498|0.867|0.236|
|Joe Jaconski|Jaconski|Joe|2B|Penn State University|Penn State|L|R|23|211|0.218|0.325|0.379|0.705|0.161|
|Reese Moore|Moore|Reese|C|University of Iowa|Iowa|L|R|22|194|0.304|0.436|0.546|0.982|0.242|
|Gable Mitchell|Mitchell|Gable|SS|University of Iowa|Iowa|L|R|22|225|0.329|0.421|0.476|0.897|0.147|
|Cole Caruso|Caruso|Cole|3B|University of Michigan|Michigan|R|R|22|201|0.284|0.36|0.512|0.872|0.229|
|Mitch Voit|Voit|Mitch|2B|University of Michigan|Michigan|R|R|21|208|0.346|0.471|0.668|1.14|0.322|
|Anthony Zarlingo|Zarlingo|Anthony|CF|Miami University (Ohio)|Miami (OH)|S|R|23|222|0.342|0.46|0.491|0.951|0.149|
|Ryan Novak|Novak|Ryan|LF|Miami University (Ohio)|Miami (OH)|L|L|20|192|0.292|0.457|0.536|0.993|0.245|
|Alex Calarco|Calarco|Alex|C|University of Maryland-College Park|Maryland|S|R|23|209|0.287|0.432|0.612|1.044|0.325|
|Brayden Martin|Martin|Brayden|2B|University of Maryland-College Park|Maryland|L|R|20|210|0.319|0.478|0.371|0.85|0.052|
|Eddie Hacopian|Hacopian|Eddie|3B|University of Maryland-College Park|Maryland|R|R|24|241|0.278|0.38|0.465|0.845|0.187|
|Sebastian Mueller|Mueller|Sebastian|3B|Quinnipiac University|Quinnipiac|R|R|24|219|0.32|0.451|0.603|1.054|0.283|
|Korbyn Dickerson|Dickerson|Korbyn|CF|Indiana University, Bloomington|Indiana|R|R|22|243|0.313|0.381|0.63|1.011|0.317|
|Sam Tackett|Tackett|Sam|RF|Virginia Tech|Virginia Tech|R|R|23|193|0.311|0.426|0.58|1.006|0.269|
|Paxton Kling|Kling|Paxton|CF|Penn State University|Penn State|R|R|22|212|0.358|0.47|0.632|1.102|0.274|
|Matt King|King|Matt|SS|Arizona State University|Arizona State|R|R|23|216|0.403|0.464|0.593|1.057|0.19|
|J.D. Yakubinis|Yakubinis|J.D.|C|East Tennessee State University|East Tennessee State|R|R|25|198|0.283|0.368|0.429|0.798|0.146|
|Mack Whitcomb|Whitcomb|Mack|C|Tennessee Technological University|Tennessee Tech|R|R|20|211|0.36|0.485|0.649|1.134|0.289|
|Bryson Arnette|Arnette|Bryson|3B|Lindenwood University|Lindenwood|R|R|0|210|0.233|0.331|0.343|0.673|0.11|
|Isaac Cadena|Cadena|Isaac|1B|Texas Christian University|TCU|L|R|20|204|0.235|0.351|0.392|0.743|0.157|
|Zane Kelly|Kelly|Zane|RF|San Diego State University|San Diego State|L|L|21|200|0.285|0.352|0.395|0.747|0.11|
|Christian Smith|Smith|Christian|C|Quinnipiac University|Quinnipiac|R|R|0|219|0.329|0.435|0.612|1.047|0.283|
|Jordan Peyton|Peyton|Jordan|SS|Towson University|Towson|R|R|24|212|0.283|0.375|0.396|0.771|0.113|
|Rocco Gump|Gump|Rocco|3B|Northwestern State University|Northwestern State|L|R|22|208|0.303|0.433|0.505|0.938|0.202|
|Sam Stephenson|Stephenson|Sam|SS|Northwestern State University|Northwestern State|R|R|23|209|0.316|0.431|0.545|0.976|0.23|
|Maddox Malony|Malony|Maddox|SS|University of Oregon|Oregon|R|R|21|207|0.309|0.403|0.565|0.969|0.256|
|Scott Penney|Penney|Scott|2B|University of Rhode Island|Rhode Island|L|R|20|195|0.267|0.366|0.431|0.797|0.164|
|Jack Gurevitch|Gurevitch|Jack|1B|University of San Diego|San Diego|L|R|21|229|0.371|0.477|0.681|1.158|0.31|
|Ben Zeigler-Namoa|Zeigler-Namoa|Ben|1B|University of Hawaii, Manoa|Hawaii|L|L|22|216|0.333|0.409|0.509|0.919|0.176|
|Marcus Brodil|Brodil|Marcus|RF|University of South Florida|South Florida|L|L|22|194|0.33|0.448|0.443|0.891|0.113|
|KaiKea Harrison|Harrison|KaiKea|SS|Tulane University|Tulane|L|R|21|182|0.28|0.37|0.363|0.732|0.082|
|Landon Moran|Moran|Landon|1B|Stetson University|Stetson|L|L|22|205|0.268|0.398|0.395|0.793|0.127|
|Mason Holton|Holton|Mason|TWP|Western Carolina University|Western Carolina|R|R|0|229|0.306|0.389|0.489|0.878|0.183|
|Jeter Ybarra|Ybarra|Jeter|1B|University of Michigan|Michigan|L|R|23|199|0.281|0.372|0.457|0.829|0.176|
|Josiah Ragsdale|Ragsdale|Josiah|CF|Boston College|Boston College|L|L|22|207|0.319|0.418|0.498|0.915|0.179|
|Damian Ruiz|Ruiz|Damian|RF|Lamar University|Lamar|R|R|21|214|0.388|0.511|0.607|1.119|0.22|
|Jake Casey|Casey|Jake|RF|Kent State University|Kent State|L|R|22|208|0.356|0.5|0.736|1.236|0.38|
|Blake DeLamielleure|DeLamielleure|Blake|RF|Jacksonville University|Jacksonville|R|R|24|216|0.273|0.356|0.426|0.782|0.153|
|Jeffrey Ince|Ince|Jeffrey|2B|Samford University|Samford|S|R|23|221|0.326|0.442|0.548|0.99|0.222|
|Josh Williams|Williams|Josh|RF|Northern Kentucky University|Northern Kentucky|L|R|0|205|0.273|0.364|0.561|0.925|0.288|
|Andrew Kirchner|Kirchner|Andrew|1B|Cal State Fullerton|CSU Fullerton|L|R|22|239|0.301|0.355|0.536|0.89|0.234|
|Hayden Jatczak|Jatczak|Hayden|3B|Kent State University|Kent State|R|R|24|213|0.376|0.491|0.77|1.261|0.394|
|Clayton Slack|Slack|Clayton|SS|University of Southern Indiana|Southern Indiana|R|R|23|204|0.294|0.371|0.382|0.754|0.088|
|Khi Holiday|Holiday|Khi|CF|University of Southern Indiana|Southern Indiana|R|R|23|215|0.335|0.449|0.409|0.858|0.074|
|Bub Terrell|Terrell|Bub|LF|Auburn University|Auburn|L|L|20|204|0.299|0.372|0.456|0.828|0.157|
|Gavin Balius|Balius|Gavin|CF|Ball State University|Ball State|R|R|21|178|0.303|0.407|0.343|0.749|0.039|
|Michael Perazzo|Perazzo|Michael|SS|Sacramento State University|Sacramento State|L|R|0|169|0.308|0.376|0.391|0.766|0.083|
|Ben Castelli|Castelli|Ben|2B|California Baptist University|California Baptist|L|R|21|200|0.29|0.4|0.47|0.87|0.18|
|Nick Mascaro|Mascaro|Nick|CF|CSU Bakersfield|CSU Bakersfield|L|R|0|208|0.293|0.395|0.466|0.861|0.173|
|Myles Bailey|Bailey|Myles|1B|Florida State University|Florida State|L|R|20|202|0.327|0.441|0.663|1.104|0.337|
|Trey Spees|Spees|Trey|2B|Western Carolina University|Western Carolina|L|R|0|178|0.287|0.408|0.399|0.807|0.112|
|William Maginnis|Maginnis|William|1B|Georgia State University|Georgia State|R|R|20|206|0.277|0.409|0.442|0.85|0.165|
|Jackson Walker|Walker|Jackson|LF|Houston Christian University|Houston Christian|L|L|23|205|0.312|0.402|0.376|0.777|0.063|
|Grant Watkins|Watkins|Grant|1B|Abilene Christian University|Abilene Christian|L|R|22|210|0.286|0.409|0.59|0.999|0.305|
|Sammy Mummau|Mummau|Sammy|SS|Jacksonville University|Jacksonville|R|R|21|180|0.206|0.304|0.306|0.61|0.1|
|A.J. Evasco|Evasco|A.J.|RF|Kansas State University|Kansas State|L|R|20|193|0.311|0.38|0.554|0.934|0.244|
|Wesley Alig|Alig|Wesley|2B|Kennesaw State University|Kennesaw State|R|R|0|199|0.312|0.401|0.457|0.858|0.146|
|Micah Rienstra-Kiracofe|Rienstra-Kiracofe|Micah|CF|Kent State University|Kent State|R|R|0|214|0.29|0.366|0.393|0.758|0.103|
|Jaxon Sorenson|Sorenson|Jaxon|1B|Liberty University|Liberty|L|R|23|209|0.239|0.366|0.478|0.845|0.239|
|Landon Scilley|Scilley|Landon|3B|Liberty University|Liberty|R|R|0|212|0.259|0.335|0.382|0.717|0.123|
|Tyler Bell|Bell|Tyler|SS|University of Kentucky|Kentucky|S|R|20|226|0.296|0.385|0.522|0.907|0.226|
|Charlie Marion|Marion|Charlie|RF|University of Wisconsin-Milwaukee|Milwaukee|L|R|21|215|0.279|0.383|0.544|0.927|0.265|
|Jake Hanley|Hanley|Jake|1B|Indiana University, Bloomington|Indiana|L|R|20|219|0.333|0.429|0.575|1.004|0.242|
|Ty Head|Head|Ty|CF|North Carolina State University|North Carolina State|L|L|20|179|0.274|0.433|0.402|0.836|0.128|
|Hudson Brignac|Brignac|Hudson|2B|Northwestern State University|Northwestern State|R|R|0|180|0.289|0.404|0.361|0.765|0.072|
|Trey Gambill|Gambill|Trey|LF|University of Oklahoma|Oklahoma|L|R|24|186|0.285|0.445|0.414|0.859|0.129|
|Clay Burdette|Burdette|Clay|RF|Xavier University|Xavier|R|R|21|202|0.292|0.407|0.54|0.947|0.248|
|James Ward|Ward|James|3B|Radford University|Radford|R|R|0|212|0.349|0.446|0.613|1.059|0.264|
|Sawyer Strosnider|Strosnider|Sawyer|RF|Texas Christian University|TCU|L|L|20|220|0.35|0.42|0.65|1.07|0.3|
|Aden Howard|Howard|Aden|CF|University of San Diego|San Diego|S|R|20|206|0.272|0.338|0.398|0.736|0.126|
|Noah Franco|Franco|Noah|TWP|Texas Christian University|TCU|L|L|19|217|0.313|0.396|0.548|0.944|0.235|
|KJ Scobey|Scobey|KJ|3B|University of South Carolina|South Carolina|R|R|20|191|0.257|0.348|0.419|0.767|0.162|
|Ryan Pruitt|Pruitt|Ryan|CF|University of South Florida|South Florida|L|L|22|217|0.281|0.369|0.401|0.77|0.12|
|Miles Risley|Risley|Miles|CF|University of Iowa|Iowa|R|R|22|201|0.299|0.422|0.448|0.869|0.149|
|Drey Barrett|Barrett|Drey|3B|The University of Southern Mississippi|Southern Miss|R|R|0|177|0.254|0.359|0.446|0.805|0.192|
|Owen Lee|Lee|Owen|SS|Tennessee Technological University|Tennessee Tech|L|R|0|193|0.249|0.368|0.43|0.798|0.181|
|TJ Anderson|Anderson|TJ|LF|The Citadel|The Citadel|L|R|0|192|0.281|0.374|0.396|0.77|0.115|
|Kyle Gibson|Gibson|Kyle|3B|Illinois State University|Illinois State|L|R|0|245|0.298|0.381|0.335|0.716|0.037|
|Josh Skowronski|Skowronski|Josh|LF|Winthrop University|Winthrop|L|R|21|177|0.305|0.436|0.588|1.023|0.282|
|Landon Penfield|Penfield|Landon|3B|College of Charleston|College of Charleston|L|R|19|206|0.286|0.418|0.539|0.957|0.252|
|Chris Rembert|Rembert|Chris|2B|Auburn University|Auburn|R|R|20|209|0.344|0.467|0.555|1.022|0.211|
|Brodie Johnston|Johnston|Brodie|3B|Vanderbilt University|Vanderbilt|R|R|19|223|0.26|0.297|0.534|0.831|0.274|
|Garrison Berkley|Berkley|Garrison|CF|Louisiana Tech University|Louisiana Tech|R|R|24|208|0.293|0.398|0.476|0.874|0.183|
|Jake Brown|Brown|Jake|1B|California Baptist University|California Baptist|R|R|0|191|0.272|0.39|0.56|0.95|0.288|
|Michael Ball|Ball|Michael|SS|University of Nevada|Nevada|R|R|24|234|0.308|0.363|0.513|0.876|0.205|
|Jordan Rogers|Rogers|Jordan|RF|Wichita State University|Wichita State|R|R|24|197|0.264|0.405|0.497|0.902|0.234|
|Ryder Robinson|Robinson|Ryder|SS|Brigham Young University|BYU|S|R|21|224|0.281|0.385|0.509|0.894|0.228|
|Jack Bell|Bell|Jack|3B|Texas Christian University|TCU|L|R|21|139|0.259|0.376|0.453|0.83|0.194|
|Wyatt Peifer|Peifer|Wyatt|3B|James Madison University|James Madison|S|R|22|199|0.241|0.313|0.382|0.695|0.141|
|Coleman Calabrese|Calabrese|Coleman|1B|James Madison University|James Madison|R|R|0|203|0.271|0.336|0.424|0.76|0.153|
|Josh Pearson|Pearson|Josh|RF|Louisiana State University|Louisiana State|L|R|23|135|0.289|0.434|0.496|0.931|0.207|
|JP Herrholz|Herrholz|JP|1B|Georgia Southern University|Georgia Southern|L|R|24|171|0.263|0.406|0.456|0.863|0.193|
|Luke Stulga|Stulga|Luke|CF|Illinois State University|Illinois State|R|R|0|197|0.294|0.345|0.467|0.812|0.173|
|Ike Irish|Irish|Ike|RF|Auburn University|Auburn|L|R|22|214|0.364|0.469|0.71|1.179|0.346|
|Tait Nunnally|Nunnally|Tait|RF|Eastern Kentucky University|Eastern Kentucky|L|L|21|187|0.23|0.348|0.364|0.712|0.134|
|Andres Matias|Matias|Andres|SS|Austin Peay State University|Austin Peay|R|R|23|191|0.304|0.396|0.492|0.889|0.188|
|Casey Sorg|Sorg|Casey|CF|Bellarmine University|Bellarmine|S|R|23|210|0.281|0.383|0.467|0.85|0.186|
|Joey Milto|Milto|Joey|RF|Bellarmine University|Bellarmine|L|R|22|160|0.256|0.432|0.45|0.882|0.194|
|Tyriq Kemp|Kemp|Tyriq|SS|Baylor University|Baylor|L|R|23|201|0.363|0.45|0.547|0.997|0.184|
|Enzo Apodaca|Apodaca|Enzo|RF|Baylor University|Baylor|L|L|23|225|0.289|0.391|0.458|0.849|0.169|
|Bradke Lohry|Lohry|Bradke|SS|University of South Florida|South Florida|R|R|22|196|0.23|0.363|0.321|0.684|0.092|
|Devin Taylor|Taylor|Devin|LF|Indiana University, Bloomington|Indiana|L|R|22|214|0.374|0.494|0.706|1.2|0.332|
|Tyler Cerny|Cerny|Tyler|SS|Indiana University, Bloomington|Indiana|R|R|22|203|0.281|0.386|0.517|0.903|0.236|
|Mike Stellrecht|Stellrecht|Mike|SS|Binghamton University|Binghamton|S|R|21|191|0.241|0.338|0.319|0.657|0.079|
|Zach Rogacki|Rogacki|Zach|C|Binghamton University|Binghamton|L|R|22|205|0.361|0.437|0.6|1.037|0.239|
|Devan Bade|Bade|Devan|3B|Binghamton University|Binghamton|R|R|23|219|0.352|0.43|0.598|1.028|0.247|
|Adam Magpoc|Magpoc|Adam|LF|Boston College|Boston College|S|R|20|185|0.232|0.353|0.351|0.704|0.119|
|Carmelo Musacchia|Musacchia|Carmelo|2B|Northeastern University|Northeastern|R|R|22|215|0.302|0.369|0.479|0.848|0.177|
|Eddie King Jr.|King Jr.|Eddie|RF|University of Louisville|Louisville|R|R|0|189|0.365|0.435|0.746|1.181|0.381|
|Blake Schaaf|Schaaf|Blake|SS|Georgetown University|Georgetown|L|R|20|189|0.344|0.442|0.476|0.918|0.132|
|Kavi Caster|Caster|Kavi|LF|Georgetown University|Georgetown|L|L|25|205|0.317|0.388|0.546|0.935|0.229|
|Luke Anderson|Anderson|Luke|LF|Brigham Young University|BYU|R|R|22|222|0.293|0.393|0.468|0.862|0.176|
|Cooper Vest|Vest|Cooper|1B|Brigham Young University|BYU|L|L|24|220|0.277|0.383|0.573|0.956|0.295|
|Kyle McDaniel|McDaniel|Kyle|2B|Utah Tech University|Utah Tech|L|R|20|210|0.367|0.464|0.481|0.945|0.114|
|Petey Soto Jr.|Soto Jr.|Petey|SS|Utah Tech University|Utah Tech|R|R|0|184|0.283|0.354|0.391|0.746|0.109|
|Jaden Bastian|Bastian|Jaden|CF|Jacksonville University|Jacksonville|R|R|20|212|0.302|0.433|0.552|0.985|0.25|
|Ryan Kroepel|Kroepel|Ryan|3B|Utah Tech University|Utah Tech|L|R|21|207|0.367|0.442|0.546|0.988|0.179|
|PJ Moutzouridis|Moutzouridis|PJ|SS|University of California|California|R|R|21|215|0.27|0.329|0.367|0.697|0.098|
|Jarren Advincula|Advincula|Jarren|2B|University of California|California|L|R|21|237|0.342|0.41|0.506|0.916|0.165|
|Luke Cantwell|Cantwell|Luke|1B|University of Pittsburgh|Pittsburgh|L|R|23|200|0.32|0.482|0.51|0.992|0.19|
|Dominic Smaldino|Smaldino|Dominic|1B|University of California|California|R|R|21|206|0.277|0.357|0.505|0.862|0.228|
|Ryan Zuckerman|Zuckerman|Ryan|3B|University of Pittsburgh|Pittsburgh|R|R|21|220|0.295|0.382|0.555|0.936|0.259|
|Benny Casillas|Casillas|Benny|SS|University of Michigan|Michigan|R|R|24|208|0.399|0.481|0.582|1.063|0.183|
|Chandler Riley|Riley|Chandler|2B|UNC Charlotte|Charlotte|L|R|24|208|0.25|0.351|0.361|0.712|0.111|
|Bryan Arendt|Arendt|Bryan|C|UNC Wilmington|UNC Wilmington|R|R|22|183|0.279|0.378|0.497|0.875|0.219|
|Hunter Keen|Keen|Hunter|SS|Radford University|Radford|R|R|0|236|0.314|0.37|0.403|0.773|0.089|
|Jae Williams|Williams|Jae|CF|Georgia State University|Georgia State|L|R|22|159|0.27|0.422|0.409|0.83|0.138|
|DeAmez Ross|Ross|Deamez|CF|University of Central Florida|Central Florida|L|L|23|234|0.359|0.429|0.466|0.894|0.107|
|Nolan Schubart|Schubart|Nolan|RF|Oklahoma State University|Oklahoma State|L|R|21|200|0.3|0.436|0.63|1.066|0.33|
|Colin Brueggemann|Brueggemann|Colin|1B|Oklahoma State University|Oklahoma State|L|R|22|212|0.297|0.376|0.571|0.947|0.274|
|Mitch Namie|Namie|Mitch|LF|New Mexico State University|New Mexico State|L|R|22|215|0.34|0.436|0.53|0.966|0.191|
|Antonio Jimenez|Jimenez|Antonio|SS|University of Central Florida|Central Florida|R|R|21|207|0.329|0.407|0.575|0.982|0.246|
|Josh Hogue|Hogue|Josh|LF|North Carolina State University|North Carolina State|L|R|22|217|0.327|0.391|0.562|0.953|0.235|
|Trent Rice|Rice|Trent|CF|Oakland University|Oakland|R|R|20|182|0.253|0.365|0.39|0.755|0.137|
|Tyler Shaneyfelt|Shaneyfelt|Tyler|CF|Northern Kentucky University|Northern Kentucky|L|R|24|224|0.321|0.451|0.42|0.871|0.098|
|Alex Duffey|Duffey|Alex|C|Elon University|Elon|L|R|22|192|0.344|0.458|0.474|0.932|0.13|
|Charlie Granatell|Granatell|Charlie|LF|Elon University|Elon|R|L|23|204|0.275|0.368|0.392|0.76|0.118|
|Jake Millan|Millan|Jake|1B|Florida Atlantic University|Florida Atlantic|S|L|23|194|0.216|0.305|0.423|0.728|0.206|
|Brett Vondohlen|Vondohlen|Brett|1B|Middle Tennessee State University|Middle Tennessee State|R|R|0|220|0.314|0.363|0.591|0.954|0.277|
|Eston Snider|Snider|Eston|CF|Middle Tennessee State University|Middle Tennessee State|R|R|0|214|0.341|0.445|0.509|0.955|0.168|
|Blake Brown|Brown|Blake|3B|Sam Houston State University|Sam Houston State|R|R|21|198|0.247|0.367|0.343|0.711|0.096|
|Hunter Autrey|Autrey|Hunter|LF|Sam Houston State University|Sam Houston State|L|R|23|206|0.325|0.425|0.524|0.949|0.199|
|Trevor Kole|Kole|Trevor|3B|University of Washington|Washington|R|R|24|201|0.244|0.301|0.338|0.64|0.095|
|Zeb Allen|Allen|Zeb|LF|University of Central Arkansas|Central Arkansas|L|L|0|210|0.295|0.446|0.543|0.989|0.248|
|Aden Hill|Hill|Aden|RF|University of Maryland-College Park|Maryland|L|R|22|202|0.238|0.372|0.431|0.803|0.193|
|Clay Grady|Grady|Clay|SS|Virginia Tech|Virginia Tech|R|R|22|164|0.262|0.365|0.372|0.737|0.11|
|Tyler Minnick|Minnick|Tyler|C|Middle Tennessee State University|Middle Tennessee State|R|R|21|205|0.302|0.391|0.493|0.884|0.19|
|Canon Reeder|Reeder|Canon|CF|Oregon State University|Oregon State|R|R|22|188|0.293|0.402|0.489|0.891|0.197|
|Nick Rodriguez|Rodriguez|Nick|2B|Missouri State University|Missouri State|L|R|23|228|0.368|0.444|0.702|1.145|0.333|
|Michael DiMartini|DiMartini|Michael|CF|University of Dayton|Dayton|R|R|21|238|0.403|0.465|0.685|1.15|0.282|
|Jake McCutcheon|McCutcheon|Jake|LF|Missouri State University|Missouri State|L|R|22|218|0.358|0.444|0.647|1.091|0.289|
|Elijah Lambros|Lambros|Elijah|CF|University of Maryland-College Park|Maryland|R|R|23|187|0.273|0.407|0.455|0.861|0.182|
